Date,Open,High,Low,Close,Volume,Open Interest
2013-12-04,30368.0,30368.0,30368.0,30368.0,307.0,257.0
2013-12-05,30652.0,30957.0,30074.0,30950.0,260.0,122.0
2013-12-06,29151.0,29350.0,28720.0,29205.0,22202.0,8851.0
2013-12-07,29205.0,29205.0,29205.0,29205.0,22202.0,8851.0
2013-12-09,28921.0,29100.0,28842.0,28954.0,13196.0,9137.0
2013-12-10,29190.0,29575.0,29190.0,29117.0,17305.0,9631.0
2013-12-11,29499.0,29639.0,29272.0,29535.0,18053.0,9792.0
2013-12-12,29501.0,29501.0,29150.0,29460.0,18734.0,10007.0
2013-12-13,29200.0,29425.0,29158.0,29223.0,13844.0,10355.0
2013-12-16,29371.0,29371.0,28766.0,29432.0,23487.0,9261.0
2013-12-17,28752.0,28990.0,28701.0,28831.0,20446.0,9389.0
2013-12-18,28735.0,28885.0,28672.0,28678.0,14216.0,9397.0
2013-12-19,28767.0,28785.0,28350.0,28868.0,19662.0,10225.0
2013-12-20,28360.0,28548.0,28276.0,28362.0,14479.0,10357.0
2013-12-21,28362.0,28362.0,28362.0,28362.0,18967.0,9776.0
2013-12-23,28526.0,28550.0,28310.0,28554.0,10698.0,10430.0
2013-12-24,28383.0,28425.0,28282.0,28364.0,9370.0,10039.0
2013-12-26,28475.0,28691.0,28455.0,28454.0,7552.0,10428.0
2013-12-27,28634.0,28640.0,28250.0,28576.0,7070.0,10454.0
2013-12-30,28551.0,28551.0,28364.0,28564.0,8661.0,10310.0
2013-12-31,28359.0,28359.0,28359.0,28359.0,18187.0,9451.0
2014-01-02,28490.0,28977.0,28490.0,28418.0,14550.0,9761.0
2014-01-06,29159.0,29159.0,29159.0,29159.0,19952.0,8768.0
2014-01-07,29001.0,29060.0,28802.0,28974.0,15066.0,9123.0
2014-01-08,28766.0,28878.0,28671.0,28834.0,12879.0,8931.0
2014-01-09,28875.0,28899.0,28712.0,28796.0,11710.0,9114.0
2014-01-10,28878.0,29040.0,28811.0,28862.0,12716.0,9132.0
2014-01-13,29045.0,29138.0,29012.0,29033.0,12745.0,8641.0
2014-01-14,29212.0,29212.0,29212.0,29212.0,10373.0,8548.0
2014-01-15,29096.0,29096.0,29096.0,29096.0,13722.0,8385.0
2014-01-16,29019.0,29019.0,29019.0,29019.0,12561.0,8044.0
2014-01-17,29034.0,29034.0,29034.0,29034.0,15063.0,8103.0
2014-01-18,29034.0,29034.0,29034.0,29034.0,15063.0,8103.0
2014-01-20,29288.0,29390.0,29288.0,29265.0,4604.0,8644.0
2014-01-21,29288.0,29288.0,29288.0,29288.0,18598.0,7797.0
2014-01-22,29208.0,29278.0,29121.0,29241.0,12563.0,7620.0
2014-01-23,29102.0,29340.0,28965.0,29150.0,26693.0,7301.0
2014-01-24,29270.0,29675.0,29252.0,29355.0,16337.0,6892.0
2014-01-25,29355.0,29355.0,29355.0,29355.0,16337.0,6892.0
2014-01-27,29550.0,29849.0,29550.0,29519.0,10374.0,6925.0
